Date,Open,High,Low,Close,Adj Close,Volume
,RGTI,RGTI,RGTI,RGTI,RGTI,RGTI
2022-12-06,1.12,1.15,1.04,1.05,1.05,862000
2022-12-07,1.05,1.075,0.995,1.0,1.0,1124600
2022-12-08,1.07,1.08,1.0,1.02,1.02,815800
2022-12-09,1.02,1.04,0.99,0.991,0.991,669900
2022-12-12,1.0,1.01,0.95,0.964,0.964,1228600
2022-12-13,0.99,1.02,0.93,0.969,0.969,1688700
2022-12-14,0.985,1.02,0.93,0.989,0.989,1357900
2022-12-15,0.915,1.04,0.915,0.995,0.995,2108000
2022-12-16,0.97,1.0,0.895,0.895,0.895,6983000
2022-12-19,0.91,0.928,0.8,0.8,0.8,1711500
2022-12-20,0.809,0.84,0.77,0.786,0.786,1450400
2022-12-21,0.77,0.86,0.77,0.81,0.81,984500
2022-12-22,0.8,0.85,0.774,0.777,0.777,1104700
2022-12-23,0.78,0.85,0.78,0.827,0.827,903400
2022-12-27,0.84,0.845,0.667,0.68,0.68,891500
2022-12-28,0.7,0.728,0.68,0.68,0.68,645600
2022-12-29,0.69,0.72,0.687,0.718,0.718,771000
2022-12-30,0.718,0.745,0.71,0.729,0.729,708300
2023-01-03,0.75,0.888,0.7,0.728,0.728,893100
2023-01-04,0.749,0.843,0.73,0.814,0.814,576300
2023-01-05,0.824,0.835,0.752,0.763,0.763,539300
2023-01-06,0.779,0.795,0.74,0.75,0.75,555100
2023-01-09,0.76,0.81,0.75,0.76,0.76,567600
2023-01-10,0.77,0.79,0.75,0.775,0.775,412300
2023-01-11,0.8,0.81,0.77,0.799,0.799,713600
2023-01-12,0.815,0.849,0.81,0.848,0.848,812000
2023-01-13,0.865,0.97,0.865,0.92,0.92,1213600
2023-01-17,0.96,1.02,0.91,1.0,1.0,891500
2023-01-18,1.01,1.05,0.94,0.946,0.946,835400
2023-01-19,0.948,0.968,0.832,0.871,0.871,634900
2023-01-20,0.916,0.916,0.858,0.893,0.893,502900
2023-01-23,0.895,0.909,0.86,0.899,0.899,585400
2023-01-24,0.904,0.92,0.86,0.87,0.87,286300
2023-01-25,0.86,0.87,0.79,0.85,0.85,887400
2023-01-26,0.888,0.89,0.78,0.809,0.809,502600
2023-01-27,0.806,0.813,0.781,0.804,0.804,618700
2023-01-30,0.824,0.824,0.77,0.772,0.772,374800
2023-01-31,0.788,0.81,0.77,0.781,0.781,417900
2023-02-01,0.79,0.87,0.77,0.8,0.8,1442200
2023-02-02,0.85,0.92,0.82,0.862,0.862,1369800
2023-02-03,0.87,1.17,0.84,1.05,1.05,7254900
2023-02-06,1.22,1.28,1.04,1.16,1.16,5784500
2023-02-07,1.2,1.21,1.03,1.12,1.12,2057700
2023-02-08,1.12,1.42,1.09,1.39,1.39,8534500
2023-02-09,1.37,1.55,1.04,1.06,1.06,6483000
2023-02-10,1.08,1.39,1.06,1.19,1.19,6771300
2023-02-13,1.2,1.23,1.0,1.03,1.03,2633900
2023-02-14,1.05,1.05,0.95,0.977,0.977,1477800
2023-02-15,0.975,1.12,0.91,1.12,1.12,1754600
2023-02-16,1.11,1.17,1.03,1.12,1.12,1561200
2023-02-17,1.11,1.12,1.06,1.07,1.07,563900
2023-02-21,1.06,1.06,1.0,1.01,1.01,740300
2023-02-22,1.02,1.04,0.99,1.0,1.0,727500
2023-02-23,1.0,1.04,0.944,1.01,1.01,949300
2023-02-24,0.991,1.0,0.813,0.837,0.837,2286600
2023-02-27,0.837,0.881,0.75,0.766,0.766,1622300
2023-02-28,0.78,0.783,0.734,0.75,0.75,1127000
2023-03-01,0.755,0.798,0.74,0.76,0.76,797900
2023-03-02,0.76,0.769,0.73,0.75,0.75,558900
2023-03-03,0.76,0.805,0.76,0.799,0.799,736400
2023-03-06,0.82,0.85,0.771,0.796,0.796,624000
2023-03-07,0.79,0.817,0.751,0.756,0.756,377200
2023-03-08,0.77,0.79,0.727,0.727,0.727,636700
2023-03-09,0.725,0.749,0.682,0.689,0.689,845000
2023-03-10,0.69,0.7,0.6,0.609,0.609,1418700
2023-03-13,0.601,0.61,0.58,0.595,0.595,992300
2023-03-14,0.59,0.6,0.581,0.598,0.598,937300
2023-03-15,0.595,0.61,0.522,0.534,0.534,1219700
2023-03-16,0.545,0.56,0.5,0.505,0.505,1133200
2023-03-17,0.504,0.519,0.464,0.499,0.499,1393400
2023-03-20,0.5,0.53,0.49,0.514,0.514,866700
2023-03-21,0.53,0.645,0.5,0.584,0.584,2113500
2023-03-22,0.613,0.617,0.56,0.573,0.573,629200
2023-03-23,0.574,0.61,0.566,0.596,0.596,479100
2023-03-24,0.587,0.59,0.55,0.56,0.56,611100
2023-03-27,0.58,0.64,0.53,0.551,0.551,1459300
2023-03-28,0.612,0.63,0.54,0.55,0.55,965300
