Date,Open,High,Low,Close,Adj Close,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2020-01-01,7194.9,7254.3,7174.9,7200.2,7200.2,18565664997
2020-01-02,7202.6,7212.2,6935.3,6985.5,6985.5,20802083465
2020-01-03,6984.4,7413.7,6915.0,7344.9,7344.9,28111481032
2020-01-04,7345.4,7427.4,7309.5,7410.7,7410.7,18444271275
2020-01-05,7410.5,7544.5,7400.5,7411.3,7411.3,19725074095
2020-01-06,7410.5,7781.9,7409.3,7769.2,7769.2,23276261598
2020-01-07,7768.7,8178.2,7768.2,8163.7,8163.7,28767291327
2020-01-08,8161.9,8396.7,7956.8,8079.9,8079.9,31672559265
2020-01-09,8082.3,8082.3,7842.4,7879.1,7879.1,24045990466
2020-01-10,7878.3,8166.6,7726.8,8166.6,8166.6,28714583844
2020-01-11,8162.2,8218.4,8029.6,8037.5,8037.5,25521165085
2020-01-12,8033.3,8200.1,8009.1,8192.5,8192.5,22903438381
2020-01-13,8189.8,8197.8,8079.7,8144.2,8144.2,22482910688
2020-01-14,8140.9,8879.5,8140.9,8827.8,8827.8,44841784107
2020-01-15,8825.3,8890.1,8657.2,8807.0,8807.0,40102834650
2020-01-16,8812.5,8846.5,8612.1,8723.8,8723.8,31313981931
2020-01-17,8725.2,8958.1,8677.3,8929.0,8929.0,36372139320
2020-01-18,8927.2,9012.2,8827.3,8942.8,8942.8,32337772627
2020-01-19,8941.4,9164.4,8620.1,8706.2,8706.2,34217320471
2020-01-20,8704.6,8745.6,8560.5,8657.6,8657.6,26422375678
2020-01-21,8659.0,8755.7,8544.5,8745.9,8745.9,24097418512
2020-01-22,8744.2,8793.0,8636.7,8680.9,8680.9,22600204051
2020-01-23,8680.7,8687.7,8333.6,8406.5,8406.5,25770680779
2020-01-24,8405.6,8514.7,8266.8,8445.4,8445.4,24397913026
2020-01-25,8440.1,8458.5,8296.2,8367.8,8367.8,19647331549
2020-01-26,8364.4,8602.4,8325.5,8596.8,8596.8,22177678796
2020-01-27,8597.3,8977.7,8597.3,8909.8,8909.8,28647338393
2020-01-28,8912.5,9358.6,8908.4,9358.6,9358.6,34398744403
2020-01-29,9357.5,9406.4,9269.5,9316.6,9316.6,30682598115
2020-01-30,9316.0,9553.1,9230.9,9509.0,9509.0,32378792851
2020-01-31,9508.3,9521.7,9230.8,9350.5,9350.5,29432489719
2020-02-01,9346.4,9439.3,9313.2,9392.9,9392.9,25922656496
2020-02-02,9389.8,9468.8,9217.8,9344.4,9344.4,30835736946
2020-02-03,9344.7,9540.4,9248.6,9293.5,9293.5,30934096509
2020-02-04,9292.8,9331.3,9112.8,9181.0,9181.0,29893183716
2020-02-05,9183.4,9701.3,9163.7,9613.4,9613.4,35222060874
2020-02-06,9617.8,9824.6,9539.8,9729.8,9729.8,37628823716
2020-02-07,9726.0,9834.7,9726.0,9795.9,9795.9,34522718159
2020-02-08,9793.1,9876.7,9678.9,9865.1,9865.1,35172043762
2020-02-09,9863.9,10129.4,9850.4,10116.7,10116.7,35807884663
2020-02-10,10115.6,10165.8,9784.6,9856.6,9856.6,39386548075
2020-02-11,9855.9,10210.1,9729.3,10208.2,10208.2,37648059389
2020-02-12,10202.4,10393.6,10202.4,10326.1,10326.1,43444303830
2020-02-13,10324.0,10457.6,10116.2,10214.4,10214.4,49356071373
2020-02-14,10211.6,10322.0,10125.5,10312.1,10312.1,43338264162
2020-02-15,10313.9,10341.6,9874.4,9889.4,9889.4,43865054831
2020-02-16,9889.2,10054.0,9722.4,9934.4,9934.4,43374780305
2020-02-17,9936.6,9938.8,9507.6,9690.1,9690.1,45998298413
2020-02-18,9691.2,10161.9,9632.4,10142.0,10142.0,47271023953
2020-02-19,10143.8,10191.7,9611.2,9633.4,9633.4,46992019710
2020-02-20,9629.3,9643.2,9507.9,9608.5,9608.5,44925260237
2020-02-21,9611.8,9723.0,9589.7,9686.4,9686.4,40930547513
2020-02-22,9687.7,9698.2,9600.7,9663.2,9663.2,35838025154
2020-02-23,9663.3,9937.4,9657.8,9924.5,9924.5,41185185761
2020-02-24,9921.6,9951.7,9537.0,9650.2,9650.2,45080496648
2020-02-25,9651.3,9652.7,9305.0,9341.7,9341.7,42515259129
2020-02-26,9338.3,9354.8,8704.4,8820.5,8820.5,50420050762
2020-02-27,8825.1,8932.9,8577.2,8784.5,8784.5,45470195695
2020-02-28,8788.7,8890.5,8492.9,8672.5,8672.5,44605450443
2020-02-29,8671.2,8775.6,8599.5,8599.5,8599.5,35792392544
2020-03-01,8599.8,8726.8,8471.2,8562.5,8562.5,35349164300
2020-03-02,8563.3,8921.3,8532.6,8869.7,8869.7,42857674409
2020-03-03,8865.4,8901.6,8705.0,8787.8,8787.8,42386715821
2020-03-04,8788.5,8843.4,8712.4,8755.2,8755.2,34746706368
2020-03-05,8760.3,9142.1,8757.3,9078.8,9078.8,39698054597
2020-03-06,9078.3,9167.7,9032.1,9122.5,9122.5,40826885651
2020-03-07,9121.6,9163.2,8890.7,8910.0,8910.0,36216930370
2020-03-08,8908.2,8914.3,8105.3,8108.1,8108.1,39973102121
2020-03-09,8111.1,8177.8,7690.1,7923.6,7923.6,46936995808
2020-03-10,7922.1,8136.9,7814.8,7909.7,7909.7,42213940994
2020-03-11,7910.1,7950.8,7642.8,7911.4,7911.4,38682762605
2020-03-12,7913.6,7929.1,4860.4,4970.8,4970.8,53980357243
2020-03-13,5017.8,5838.1,4107.0,5563.7,5563.7,74156772075
2020-03-14,5573.1,5625.2,5125.1,5200.4,5200.4,36154506008
2020-03-15,5201.1,5836.6,5169.3,5392.3,5392.3,33997889639
2020-03-16,5385.2,5385.2,4575.4,5014.5,5014.5,45368026430
2020-03-17,5002.6,5371.3,4981.9,5225.6,5225.6,38622642935
2020-03-18,5227.1,5331.8,5069.3,5238.4,5238.4,37878801016
2020-03-19,5245.4,6329.7,5237.0,6191.2,6191.2,51000731797
2020-03-20,6191.7,6844.3,5865.8,6198.8,6198.8,54442976103
2020-03-21,6206.5,6378.1,5932.8,6185.1,6185.1,42494390880
2020-03-22,6185.6,6359.7,5823.7,5830.3,5830.3,40099664740
2020-03-23,5831.4,6443.9,5785.0,6416.3,6416.3,46491916000
2020-03-24,6436.6,6789.0,6411.1,6734.8,6734.8,48221910672
2020-03-25,6738.7,6892.5,6536.9,6681.1,6681.1,44590107888
2020-03-26,6675.2,6735.5,6591.0,6716.4,6716.4,35319797642
2020-03-27,6719.4,6793.8,6466.7,6469.8,6469.8,34585598367
2020-03-28,6467.3,6467.5,6117.8,6242.2,6242.2,34885225901
2020-03-29,6245.6,6250.5,5920.1,5922.0,5922.0,28373690931
2020-03-30,5925.5,6517.2,5903.2,6429.8,6429.8,37101651525
2020-03-31,6430.6,6504.5,6374.2,6438.6,6438.6,32786468812
2020-04-01,6437.3,6612.6,6202.4,6606.8,6606.8,40346426266
2020-04-02,6606.8,7088.2,6595.9,6793.6,6793.6,47660646124
2020-04-03,6797.4,7003.2,6673.3,6733.4,6733.4,38976504903
2020-04-04,6738.4,6879.0,6696.5,6867.5,6867.5,33185988584
2020-04-05,6862.5,6883.4,6715.9,6791.1,6791.1,29510409856
2020-04-06,6788.0,7271.8,6782.9,7271.8,7271.8,46896904615
2020-04-07,7273.6,7427.9,7136.7,7176.4,7176.4,44243482668
2020-04-08,7179.3,7356.2,7153.3,7334.1,7334.1,37563249549
2020-04-09,7338.0,7341.4,7179.1,7302.1,7302.1,34815139178
2020-04-10,7303.8,7303.8,6802.5,6865.5,6865.5,43622840992
2020-04-11,6867.4,6926.1,6789.9,6859.1,6859.1,31222085946
2020-04-12,6858.1,7119.9,6811.1,6971.1,6971.1,35759567632
2020-04-13,6965.6,6965.6,6668.3,6845.0,6845.0,38619308647
