Date,Open,High,Low,Close,Adj Close,Volume
2022-12-06,7.3,7.3,7.0,7.1,7.1,253542935
2022-12-07,7.1,7.1,6.8,6.9,6.9,238394478
2022-12-08,6.9,7.1,6.8,7.0,7.0,198390377
2022-12-09,7.0,7.0,6.8,6.9,6.9,163188841
2022-12-10,6.9,6.9,6.8,6.9,6.9,138343803
2022-12-11,6.9,6.9,6.7,6.7,6.7,131226762
2022-12-12,6.7,6.7,6.5,6.7,6.7,191902698
2022-12-13,6.7,7.0,6.5,6.9,6.9,305694512
2022-12-14,6.9,6.9,6.7,6.7,6.7,208545519
2022-12-15,6.7,6.7,6.4,6.5,6.5,201528818
2022-12-16,6.5,6.5,5.8,5.9,5.9,283856110
2022-12-17,5.9,6.0,5.8,6.0,6.0,192779241
2022-12-18,6.0,6.0,6.0,6.0,6.0,113833897
2022-12-19,6.0,6.0,5.7,5.8,5.8,214083722
2022-12-20,5.8,6.1,5.8,6.0,6.0,209312651
2022-12-21,6.0,6.0,5.9,6.0,6.0,149997846
2022-12-22,6.0,6.0,5.9,6.0,6.0,175920137
2022-12-23,6.0,6.0,5.9,5.9,5.9,157847820
2022-12-24,5.9,6.0,5.9,5.9,5.9,111387083
2022-12-25,5.9,6.0,5.9,6.0,6.0,140351136
2022-12-26,6.0,6.0,6.0,6.0,6.0,128325031
2022-12-27,6.0,6.1,5.9,5.9,5.9,151421212
2022-12-28,5.9,5.9,5.7,5.7,5.7,188630493
2022-12-29,5.7,5.7,5.5,5.6,5.6,193768237
2022-12-30,5.6,5.6,5.4,5.5,5.5,187032495
2022-12-31,5.5,5.6,5.4,5.6,5.6,144422398
2023-01-01,5.6,5.6,5.5,5.6,5.6,109175362
2023-01-02,5.6,5.7,5.6,5.7,5.7,179768004
2023-01-03,5.7,5.7,5.6,5.6,5.6,182318187
2023-01-04,5.6,5.8,5.6,5.8,5.8,205745250
2023-01-05,5.8,5.8,5.6,5.6,5.6,166950331
2023-01-06,5.6,5.7,5.6,5.7,5.7,166922602
2023-01-07,5.7,5.8,5.7,5.8,5.8,140003552
2023-01-08,5.8,5.9,5.8,5.9,5.9,149233597
2023-01-09,5.9,6.2,5.9,6.1,6.1,336692626
2023-01-10,6.1,6.3,6.0,6.2,6.2,211548969
2023-01-11,6.2,6.3,6.0,6.3,6.3,212708693
2023-01-12,6.4,6.4,6.2,6.4,6.4,336590126
2023-01-13,6.4,6.6,6.3,6.6,6.6,266139656
2023-01-14,6.6,7.1,6.6,6.9,6.9,576671317
2023-01-15,6.9,6.9,6.6,6.7,6.7,392031356
2023-01-16,6.7,6.9,6.5,6.7,6.7,395021461
2023-01-17,6.7,6.9,6.6,6.8,6.8,368037968
2023-01-18,6.8,7.0,6.3,6.4,6.4,443456872
2023-01-19,6.3,6.5,6.3,6.5,6.5,218670715
2023-01-20,6.5,7.0,6.4,7.0,7.0,258845710
2023-01-21,7.0,7.1,6.9,6.9,6.9,372198330
2023-01-22,6.9,7.2,6.8,7.0,7.0,397275394
2023-01-23,7.0,7.2,7.0,7.0,7.0,382722730
2023-01-24,7.0,7.2,6.6,6.7,6.7,314688181
2023-01-25,6.7,7.1,6.6,7.0,7.0,340184050
2023-01-26,7.0,7.3,6.9,7.2,7.2,383773795
2023-01-27,7.2,7.5,7.0,7.4,7.4,409716317
2023-01-28,7.4,7.5,7.1,7.2,7.2,247360344
2023-01-29,7.2,7.4,7.2,7.4,7.4,311604961
2023-01-30,7.4,7.4,6.8,6.9,6.9,308344397
2023-01-31,6.9,7.1,6.9,7.0,7.0,219036836
2023-02-01,7.0,7.3,6.7,7.2,7.2,312466639
2023-02-02,7.2,7.5,7.1,7.1,7.1,336269815
2023-02-03,7.1,7.3,7.0,7.3,7.3,276486581
2023-02-04,7.3,7.3,7.1,7.2,7.2,211742392
2023-02-05,7.2,7.2,6.9,7.0,7.0,227421226
2023-02-06,7.0,7.0,6.8,6.8,6.8,216553530
2023-02-07,6.8,7.2,6.8,7.2,7.2,265944829
2023-02-08,7.2,7.3,7.0,7.1,7.1,307753754
2023-02-09,7.1,7.8,6.9,7.0,7.0,1103183457
2023-02-10,7.0,7.1,6.8,6.9,6.9,451207831
2023-02-11,6.9,7.0,6.9,7.0,7.0,202145744
2023-02-12,7.0,7.1,6.7,6.8,6.8,241644536
2023-02-13,6.8,6.8,6.5,6.7,6.7,357135687
2023-02-14,6.7,6.8,6.6,6.8,6.8,280517342
2023-02-15,6.8,7.3,6.7,7.3,7.3,340072775
2023-02-16,7.3,7.5,7.0,7.0,7.0,518185252
2023-02-17,7.0,7.7,7.0,7.7,7.7,715233660
2023-02-18,7.7,8.2,7.5,8.0,8.0,844845498
2023-02-19,8.0,8.2,7.9,8.0,8.0,595712725
2023-02-20,8.0,8.3,7.8,8.0,8.0,541991760
2023-02-21,8.0,8.1,7.5,7.6,7.6,407354867
2023-02-22,7.6,7.7,7.3,7.7,7.7,453992830
2023-02-23,7.7,8.2,7.7,7.9,7.9,637551320
2023-02-24,7.9,8.1,7.3,7.5,7.5,526136614
