Tanggal,Harga
01/ 01/ 2020,"15,550"
08/ 01/ 2020,"15,500"
15/ 01/ 2020,"15,550"
22/ 01/ 2020,"15,600"
29/ 01/ 2020,"15,650"
05/ 02/ 2020,"15,750"
12/ 02/ 2020,"15,800"
19/ 02/ 2020,"15,850"
26/ 02/ 2020,"16,050"
04/ 03/ 2020,"16,000"
11/ 03/ 2020,"16,050"
18/ 03/ 2020,"16,100"
25/ 03/ 2020,"16,150"
01/ 04/ 2020,"16,050"
08/ 04/ 2020,"16,100"
15/ 04/ 2020,"16,100"
22/ 04/ 2020,"16,050"
29/ 04/ 2020,"16,100"
06/ 05/ 2020,"16,150"
13/ 05/ 2020,"16,150"
20/ 05/ 2020,"16,150"
27/ 05/ 2020,"16,150"
03/ 06/ 2020,"16,100"
10/ 06/ 2020,"16,050"
17/ 06/ 2020,"16,050"
24/ 06/ 2020,"16,000"
01/ 07/ 2020,"15,950"
08/ 07/ 2020,"15,950"
15/ 07/ 2020,"15,900"
22/ 07/ 2020,"16,000"
29/ 07/ 2020,"16,100"
05/ 08/ 2020,"15,950"
12/ 08/ 2020,"15,950"
19/ 08/ 2020,"15,900"
26/ 08/ 2020,"15,900"
02/ 09/ 2020,"15,900"
09/ 09/ 2020,"15,850"
16/ 09/ 2020,"15,850"
23/ 09/ 2020,"15,900"
30/ 09/ 2020,"15,950"
07/ 10/ 2020,"16,000"
14/ 10/ 2020,"16,000"
21/ 10/ 2020,"17,100"
28/ 10/ 2020,"16,050"
04/ 11/ 2020,"16,300"
11/ 11/ 2020,"16,350"
18/ 11/ 2020,"16,350"
25/ 11/ 2020,"16,350"
02/ 12/ 2020,"16,400"
09/ 12/ 2020,"16,400"
16/ 12/ 2020,"16,400"
23/ 12/ 2020,"16,450"
30/ 12/ 2020,"16,400"
06/ 01/ 2021,"16,500"
13/ 01/ 2021,"16,400"
20/ 01/ 2021,"16,400"
27/ 01/ 2021,"16,350"
03/ 02/ 2021,"16,300"
10/ 02/ 2021,"16,350"
17/ 02/ 2021,"16,300"
24/ 02/ 2021,"16,300"
03/ 03/ 2021,"16,250"
10/ 03/ 2021,"16,250"
17/ 03/ 2021,"16,200"
24/ 03/ 2021,"16,200"
31/ 03/ 2021,"16,150"
07/ 04/ 2021,"16,150"
14/ 04/ 2021,"16,200"
21/ 04/ 2021,"16,250"
28/ 04/ 2021,"16,300"
05/ 05/ 2021,"16,300"
12/ 05/ 2021,"16,250"
19/ 05/ 2021,"16,350"
26/ 05/ 2021,"16,350"
02/ 06/ 2021,"16,400"
09/ 06/ 2021,"16,500"
16/ 06/ 2021,"16,550"
